country,year,Gender equality Index,United Nations m49 country code,Source
Cuba,1987,65.90546,192,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Cyprus,1987,46.16245,196,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Czechia,1987,58.72561,203,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Côte dIvoire,1987,38.05287,384,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Dem. People's Rep. Korea,1987,43.93893,408,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Dem. Rep. of the Congo,1987,26.98037,180,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Denmark,1987,88.45271,208,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Djibouti,1987,15.08382,262,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Dominican Republic,1987,37.60297,214,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Ecuador,1987,33.82553,218,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Egypt,1987,28.49718,818,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
El Salvador,1987,36.4105,222,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Equatorial Guinea,1987,34.29051,226,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Eswatini,1987,41.5303,748,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Ethiopia,1987,24.29738,231,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Fiji,1987,29.19457,242,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Finland,1987,73.02274,246,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
France,1987,62.07601,250,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Gabon,1987,36.58253,266,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Gambia,1987,33.60266,270,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Germany,1987,69.05288,276,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Ghana,1987,51.63044,288,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Greece,1987,62.27784,300,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Guatemala,1987,32.83591,320,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Guinea,1987,23.12922,324,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Guinea-Bissau,1987,35.69652,624,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Guyana,1987,44.51781,328,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Haiti,1987,29.05187,332,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Honduras,1987,34.1849,340,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Hungary,1987,62.23463,348,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Iceland,1987,63.72845,352,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
India,1987,47.24534,356,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Indonesia,1987,34.19342,360,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Iran (Islamic Republic of),1987,10.87151,364,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Iraq,1987,24.73676,368,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Ireland,1987,57.68051,372,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Israel,1987,70.01806,376,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Italy,1987,64.95046,380,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Jamaica,1987,76.83101,388,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Japan,1987,55.1554,392,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Jordan,1987,27.25547,400,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Kenya,1987,29.48808,404,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Kuwait,1987,19.38139,414,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Lao People's Dem. Rep.,1987,37.21084,418,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Lebanon,1987,29.53838,422,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Lesotho,1987,43.63477,426,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Liberia,1987,37.62296,430,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Libya,1987,21.05644,434,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Luxembourg,1987,61.66482,442,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Madagascar,1987,39.7174,450,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Malawi,1987,27.94816,454,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Malaysia,1987,39.88455,458,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Maldives,1987,33.06195,462,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Mali,1987,29.68562,466,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Malta,1987,53.62249,470,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Mauritania,1987,22.8982,478,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Mauritius,1987,49.41664,480,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Mexico,1987,36.15591,484,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Mongolia,1987,53.17949,496,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Morocco,1987,27.32821,504,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Mozambique,1987,41.63488,508,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Myanmar,1987,24.03211,104,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Nepal,1987,25.93329,524,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Netherlands,1987,71.41297,528,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
New Zealand,1987,65.86973,554,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Nicaragua,1987,45.69497,558,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Niger,1987,36.17452,562,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Nigeria,1987,30.69781,566,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Norway,1987,91.92799,578,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Oman,1987,17.56846,512,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Pakistan,1987,38.35514,586,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Panama,1987,36.54086,591,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Paraguay,1987,17.81753,600,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Peru,1987,38.01986,604,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Philippines,1987,59.80819,608,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Poland,1987,57.28593,616,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Portugal,1987,62.95093,620,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Qatar,1987,15.58337,634,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Republic of Korea,1987,36.69352,410,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Romania,1987,65.55507,642,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Russian Federation,1987,52.96263,643,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Rwanda,1987,35.2643,646,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Saudi Arabia,1987,4.55535,682,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Senegal,1987,50.131,686,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Serbia,1987,50.36489,688,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Sierra Leone,1987,27.87763,694,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Singapore,1987,48.32356,702,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Solomon Islands,1987,15.23177,090,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Somalia,1987,16.41442,706,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
South Africa,1987,23.06579,710,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Spain,1987,63.13492,724,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Sri Lanka,1987,47.47091,144,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Sudan,1987,23.27425,729,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Suriname,1987,47.05127,740,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Sweden,1987,85.38249,752,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Switzerland,1987,63.00917,756,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Syrian Arab Republic,1987,39.03265,760,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Thailand,1987,47.35266,764,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Togo,1987,35.82819,768,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Trinidad and Tobago,1987,59.34122,780,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Tunisia,1987,42.46963,788,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Turkey,1987,37.78878,792,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Uganda,1987,37.04196,800,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
United Arab Emirates,1987,15.4384,784,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
United Kingdom,1987,64.19818,826,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
United Rep. of Tanzania,1987,42.45365,834,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
United States of America,1987,62.55121,840,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Uruguay,1987,58.39205,858,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Vanuatu,1987,48.622,548,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Venezuela (Boliv. Rep. of),1987,51.79951,862,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Viet Nam,1987,53.22258,704,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Yemen,1987,1.42797,887,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Zambia,1987,37.34451,894,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Zimbabwe,1987,44.74526,716,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Afghanistan,1988,19.05044,004,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Albania,1988,50.6741,008,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Algeria,1988,37.46047,012,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Angola,1988,37.94766,024,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Argentina,1988,59.63635,032,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Australia,1988,75.6994,036,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Austria,1988,66.03475,040,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Bahrain,1988,20.47387,048,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Bangladesh,1988,43.94066,050,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Barbados,1988,68.54042,052,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Belgium,1988,68.07697,056,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Benin,1988,50.65031,204,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Bhutan,1988,35.11553,064,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Bolivia (Plurin. State of),1988,32.44855,068,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Botswana,1988,46.86035,072,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Brazil,1988,55.53102,076,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Bulgaria,1988,69.01014,100,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Burkina Faso,1988,41.12085,854,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Burundi,1988,37.42575,108,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Cabo Verde,1988,44.52196,132,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Cambodia,1988,26.15847,116,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Cameroon,1988,30.56564,120,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Canada,1988,70.4028,124,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Central African Republic,1988,36.06065,140,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Chad,1988,23.84907,148,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Chile,1988,32.50241,152,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
China,1988,45.10525,156,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Colombia,1988,33.80502,170,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Comoros,1988,28.13194,174,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Congo,1988,27.84839,178,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Costa Rica,1988,60.30543,188,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Cuba,1988,66.54222,192,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Cyprus,1988,46.16245,196,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Czechia,1988,60.59281,203,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Côte dIvoire,1988,38.05287,384,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Dem. People's Rep. Korea,1988,43.93893,408,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Dem. Rep. of the Congo,1988,31.78735,180,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Denmark,1988,91.58066,208,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Djibouti,1988,15.08382,262,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Dominican Republic,1988,37.99013,214,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Ecuador,1988,34.66367,218,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Egypt,1988,28.49718,818,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
El Salvador,1988,39.68306,222,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Equatorial Guinea,1988,36.01758,226,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Eswatini,1988,41.5303,748,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Ethiopia,1988,21.59614,231,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Fiji,1988,29.19457,242,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Finland,1988,74.33454,246,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
France,1988,62.07601,250,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Gabon,1988,36.58253,266,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Gambia,1988,34.82627,270,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Germany,1988,69.05288,276,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Ghana,1988,51.63044,288,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Greece,1988,64.06752,300,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Guatemala,1988,33.08826,320,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Guinea,1988,24.18446,324,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Guinea-Bissau,1988,35.69652,624,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Guyana,1988,42.7338,328,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Haiti,1988,30.45429,332,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Honduras,1988,35.62118,340,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Hungary,1988,62.23463,348,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Iceland,1988,63.72845,352,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
India,1988,47.24534,356,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Indonesia,1988,35.58407,360,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Iran (Islamic Republic of),1988,11.21847,364,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Iraq,1988,23.56326,368,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Ireland,1988,57.68051,372,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Israel,1988,69.93745,376,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Italy,1988,64.95046,380,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Jamaica,1988,75.24253,388,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Japan,1988,55.1554,392,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Jordan,1988,29.23691,400,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Kenya,1988,29.48808,404,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Kuwait,1988,19.52678,414,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Lao People's Dem. Rep.,1988,39.66777,418,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Lebanon,1988,29.53838,422,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Lesotho,1988,46.23807,426,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Liberia,1988,37.62296,430,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Libya,1988,21.89927,434,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Luxembourg,1988,63.60431,442,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Madagascar,1988,39.7174,450,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Malawi,1988,28.10225,454,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Malaysia,1988,39.88455,458,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Maldives,1988,33.06195,462,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Mali,1988,29.68562,466,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Malta,1988,55.5071,470,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Mauritania,1988,24.81614,478,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Mauritius,1988,49.41664,480,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Mexico,1988,36.29554,484,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Mongolia,1988,53.29699,496,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Morocco,1988,27.32821,504,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Mozambique,1988,41.82156,508,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Myanmar,1988,30.76084,104,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Nepal,1988,25.93329,524,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Netherlands,1988,70.14138,528,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
New Zealand,1988,66.16105,554,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Nicaragua,1988,45.69497,558,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Niger,1988,44.08236,562,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Nigeria,1988,32.62843,566,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Norway,1988,91.92799,578,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Oman,1988,17.56846,512,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Pakistan,1988,45.7527,586,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Panama,1988,36.54086,591,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Paraguay,1988,18.40358,600,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Peru,1988,38.01986,604,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Philippines,1988,58.81423,608,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Poland,1988,57.28593,616,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Portugal,1988,63.17064,620,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Qatar,1988,15.70724,634,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Republic of Korea,1988,44.7046,410,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Romania,1988,65.55507,642,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Russian Federation,1988,52.96263,643,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Rwanda,1988,35.4492,646,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Saudi Arabia,1988,4.55535,682,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Senegal,1988,50.42697,686,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Serbia,1988,50.36489,688,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Sierra Leone,1988,27.87763,694,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Singapore,1988,45.89904,702,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Solomon Islands,1988,15.23177,090,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Somalia,1988,16.41442,706,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
South Africa,1988,25.10128,710,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Spain,1988,63.40818,724,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Sri Lanka,1988,50.95793,144,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
