country,year,Gender equality Index,United Nations m49 country code,Source
Burkina Faso,1975,39.20805,854,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Burundi,1975,30.05228,108,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Cabo Verde,1975,39.51941,132,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Cambodia,1975,18.10188,116,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Cameroon,1975,24.78102,120,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Canada,1975,58.0111,124,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Central African Republic,1975,33.60992,140,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Chad,1975,27.21823,148,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Chile,1975,23.89933,152,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
China,1975,44.29688,156,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Colombia,1975,31.93786,170,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Comoros,1975,29.55695,174,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Congo,1975,24.60566,178,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Costa Rica,1975,44.85998,188,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Cuba,1975,57.22053,192,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Cyprus,1975,41.36125,196,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Czechia,1975,56.40896,203,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Côte dIvoire,1975,36.6873,384,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Dem. People's Rep. Korea,1975,43.96352,408,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Dem. Rep. of the Congo,1975,23.65575,180,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Denmark,1975,82.89809,208,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Dominican Republic,1975,23.29164,214,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Ecuador,1975,17.16227,218,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Egypt,1975,24.93504,818,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
El Salvador,1975,24.32876,222,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Equatorial Guinea,1975,17.81131,226,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Eswatini,1975,38.19795,748,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Ethiopia,1975,16.1445,231,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Fiji,1975,30.22667,242,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Finland,1975,66.25797,246,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
France,1975,57.92924,250,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Gabon,1975,32.92501,266,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Gambia,1975,27.87371,270,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Germany,1975,63.91659,276,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Ghana,1975,42.18776,288,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Greece,1975,51.65045,300,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
